ID,Scenario,New Pipeline,Costs,Capturable CO2 (kt),Lat1,Long1,SUM(Total cost toggle),Latitude (generated),Longitude (generated),ATTR(CO2 emissions (kt)),ATTR(Capturable CO2 (kt)),ATTR(Capture cost - high (EUR/t CO2)),ATTR(Capture costs - low (EUR/t CO2)),ATTR(Facility name),ATTR(Sector_reviewed),ATTR(Selected storage),ATTR(Selected transport),ATTR(Total costs - high (EUR/t CO2)),ATTR(Total costs - low (EUR/t CO2)),ATTR(Transport + storage (EUR/t) - high),ATTR(Transport + storage (EUR/t) - low)
993,Short term,Not possible,High estimates,266.99129999999997,48.226569,20.588358,192.71596665026217,48.226569,20.588358,297,266.99129999999997,130,65,Alteo Nyrt.,Power and heat,Storage far,Pipeline 0_10,192.71596665026217,102.71596665026217,62.715966650262175,37.715966650262175
994,Short term,Not possible,High estimates,266.6673,45.440577,8.616636,232.5595932217859,45.440577,8.616636,296,266.6673,125,65,Novel S.p.A.,Power and heat,Storage point 300_400,Railway 0_5,232.5595932217859,147.5595932217859,107.55959322178589,82.55959322178589
995,Short term,Not possible,High estimates,266.40000000000003,48.578257,18.865102,304.74245987707013,48.578257,18.865102,296,266.40000000000003,145,115,"Slovalco, a.s.",Non-ferrous metals,Storage far,Railway 0_5,304.74245987707013,249.74245987707016,159.74245987707016,134.74245987707016
996,Short term,Not possible,High estimates,265.5,50.679329,17.913222,274.74245987707013,50.679329,17.913222,295,265.5,115,55,"Cementownia ""Odra"" S.A.",Non-metallic minerals,Storage far,Railway 0_5,274.74245987707013,189.74245987707016,159.74245987707016,134.74245987707016
997,Short term,Not possible,High estimates,264.7602,47.08588,18.719982,197.71596665026217,47.08588,18.719982,294,264.7602,135,70,Hungrana Kft.,Food,Storage far,Pipeline 0_10,197.71596665026217,107.71596665026217,62.715966650262175,37.715966650262175
998,Short term,Not possible,High estimates,264.6,48.531986,22.069183,279.74245987707013,48.531986,22.069183,294,264.6,120,55,"eustream, a.s. - Kompresorová stanica ?. 1",Oil and gas,Storage far,Railway 0_5,279.74245987707013,189.74245987707016,159.74245987707016,134.74245987707016
999,Short term,Not possible,High estimates,264.1527,44.594166,7.484722,212.79631346624498,44.594166,7.484722,294,264.1527,125,65,CENTRALE TERMOELETTRICA DI VERZUOLO,Power and heat,Storage point 400_500,Coastline 50_100,212.79631346624498,127.79631346624498,87.79631346624498,62.796313466244975
1000,Short term,Not possible,High estimates,263.7,48.8970072911,8.72545876189,242.93829225757904,48.8970072911,8.72545876189,293,263.7,130,65,Heizkraftwerk Pforzheim GmbH,Power and heat,Storage point 400_500,Waterway 50_100,242.93829225757904,152.93829225757904,112.93829225757904,87.93829225757904
1001,Short term,Not possible,High estimates,263.7,42.882946,-2.189981,181.68555762175157,42.882946,-2.189981,293,263.7,115,55,"CEMENTOS PORTLAND VALDERRIVAS, S.A.-FABRICA CEMENTO",Non-metallic minerals,Storage point 100_200,Coastline 10_50,181.68555762175157,96.68555762175157,66.68555762175157,41.68555762175157
1002,Short term,Not possible,High estimates,263.1558933,64.046185,-22.02865,166.14173274091394,64.046185,-22.02865,292,263.1558933,145,115,Rio Tinto á Íslandi hf.,Non-ferrous metals,Storage point 0_100,Coastline 0_10,166.14173274091394,136.14173274091394,21.141732740913945,21.141732740913945
1003,Short term,Not possible,High estimates,262.8,47.2152774029,7.57064678255,242.93829225757904,47.2152774029,7.57064678255,292,262.8,130,65,KEBAG AG,Waste management,Storage point 400_500,Waterway 50_100,242.93829225757904,152.93829225757904,112.93829225757904,87.93829225757904
1004,Short term,Not possible,High estimates,262.8,38.083,-3.633,289.74245987707013,38.083,-3.633,292,262.8,130,65,PLANTA DE TRATAMIENTO INTEGRAL DEL ALPERUJO EN LINARES,Power and heat,Storage far,Railway 0_5,289.74245987707013,199.74245987707016,159.74245987707016,134.74245987707016
1005,Short term,Not possible,High estimates,261.90000000000003,48.997314,18.103758,274.74245987707013,48.997314,18.103758,291,261.90000000000003,115,55,Cemmac a.s. - Výroba cementu,Non-metallic minerals,Storage far,Railway 0_5,274.74245987707013,189.74245987707016,159.74245987707016,134.74245987707016
1006,Short term,Not possible,High estimates,261.90000000000003,47.807083,14.159778,217.5595932217859,47.807083,14.159778,291,261.90000000000003,110,55,voestalpine Stahl GmbH,Non-metallic minerals,Storage point 300_400,Railway 0_5,217.5595932217859,137.5595932217859,107.55959322178589,82.55959322178589
1007,Short term,Not possible,High estimates,261.74475,44.853611,11.591388,151.69007660295935,44.853611,11.591388,582,261.74475,120,70,YARA ITALIA S.p.A.,Chemicals/Petrochemicals,Storage point 0_100,Coastline 50_100,151.69007660295935,101.69007660295935,31.69007660295936,31.69007660295936
1008,Short term,Not possible,High estimates,261.0,51.18405,16.11369,289.74245987707013,51.18405,16.11369,290,261.0,130,65,"Huta Miedzi ""Legnica""",Waste management,Storage far,Railway 0_5,289.74245987707013,199.74245987707016,159.74245987707016,134.74245987707016
1009,Short term,Not possible,High estimates,261.0,51.0172423171,11.0401191723,252.46898369472427,51.0172423171,11.0401191723,290,261.0,130,65,Stadtwerke Erfurt / HKW Ost,Power and heat,Storage point 400_500,Railway 0_5,252.46898369472427,162.46898369472427,122.46898369472426,97.46898369472426
1010,Short term,Not possible,High estimates,261.0,50.8932997522,9.99811327158,259.2158820641967,50.8932997522,9.99811327158,290,261.0,130,65,ETN Wintershall,Waste management,Storage point 400_500,No infrastructure,259.2158820641967,169.2158820641967,129.2158820641967,104.21588206419669
1011,Short term,Not possible,High estimates,261.0,37.363554,-6.670802,172.71596665026217,37.363554,-6.670802,290,261.0,110,55,"FÁBRICA DE NIEBLA (SOCIEDAD DE CEMENTOS Y MATERIALES DE CONSTRUCCIÓN DE ANDALUCÍA, S.A.)",Non-metallic minerals,Storage far,Pipeline 0_10,172.71596665026217,92.71596665026217,62.715966650262175,37.715966650262175
